Timestamp (s),Position (mm),Force (N),Torque,Stage
1539655253.862829,-19.8564,0.17914629600000043,-1154,0
1539655253.8948889,-19.6654,0.17914629600000043,-1304,0
1539655253.926739,-19.4747,0.17914629600000043,-1324,0
1539655253.9586391,-19.2849,0.17914629600000043,-1230,0
1539655253.9907541,-19.095,0.22163144399999998,-1254,0
1539655254.022462,-18.9011,0.2641165920000018,-1224,0
1539655254.054668,-18.7109,0.22163144399999998,-1288,0
1539655254.0868192,-18.5188,0.22163144399999998,-1198,0
1539655254.118721,-18.3264,0.22163144399999998,-1222,0
1539655254.150955,-18.1344,0.22163144399999998,-1224,0
1539655254.183124,-17.9428,0.22163144399999998,-1220,0
1539655254.2147992,-17.7462,0.22163144399999998,-1244,0
1539655254.24666,-17.5582,0.17914629600000043,-1218,0
1539655254.2790349,-17.3681,0.22163144399999998,-1280,0
1539655254.310818,-17.1729,0.22163144399999998,-1182,0
1539655254.3431659,-16.9817,0.22163144399999998,-1238,0
1539655254.375063,-16.7891,0.22163144399999998,-1258,0
1539655254.406865,-16.5953,0.22163144399999998,-1162,0
1539655254.438936,-16.4087,0.17914629600000043,-1216,0
1539655254.4711208,-16.2145,0.22163144399999998,-1174,0
1539655254.5029252,-16.0221,0.22163144399999998,-1206,0
1539655254.535074,-15.8315,0.22163144399999998,-1146,0
1539655254.567223,-15.6382,0.22163144399999998,-1082,0
1539655254.5990012,-15.4462,0.22163144399999998,-1112,0
1539655254.631021,-15.2583,0.22163144399999998,-1142,0
1539655254.663237,-15.0654,0.22163144399999998,-1120,0
1539655254.695043,-14.8704,0.22163144399999998,-1094,0
1539655254.727284,-14.6829,0.22163144399999998,-1142,0
1539655254.759187,-14.4881,0.22163144399999998,-1104,0
1539655254.79104,-14.2979,0.22163144399999998,-1098,0
1539655254.82317,-14.109,0.17914629600000043,-1080,0
1539655254.855028,-13.9135,0.22163144399999998,-1074,0
1539655254.8870242,-13.7226,0.22163144399999998,-1100,0
1539655254.919018,-13.5296,0.22163144399999998,-1114,0
1539655254.9510531,-13.3392,0.22163144399999998,-1128,0
1539655254.982972,-13.1472,0.22163144399999998,-1110,0
1539655255.015291,-12.9556,0.22163144399999998,-1162,0
1539655255.047106,-12.7619,0.2641165920000018,-1088,0
1539655255.07903,-12.5691,0.17914629600000043,-1150,0
1539655255.111285,-12.3771,0.22163144399999998,-1130,0
1539655255.143403,-12.1843,0.22163144399999998,-1140,0
1539655255.176054,-11.9901,0.2641165920000018,-1188,0
1539655255.20755,-11.7921,0.17914629600000043,-1162,0
1539655255.239553,-11.6069,0.22163144399999998,-1154,0
1539655255.2712488,-11.4144,0.22163144399999998,-1116,0
1539655255.303613,-11.2256,0.2641165920000018,-1096,0
1539655255.335521,-11.0313,0.22163144399999998,-1050,0
1539655255.367357,-10.8401,0.2641165920000018,-1072,0
1539655255.399502,-10.6509,0.22163144399999998,-1106,0
1539655255.43138,-10.4571,0.2641165920000018,-1104,0
1539655255.463189,-10.2654,0.22163144399999998,-1062,0
1539655255.495518,-10.0753,0.22163144399999998,-1016,0
1539655255.527544,-9.8804,0.2641165920000018,-1128,0
1539655255.559219,-9.6883,0.22163144399999998,-1056,0
1539655255.591593,-9.499,0.22163144399999998,-1070,0
1539655255.6238358,-9.3049,0.2641165920000018,-1078,0
1539655255.655426,-9.1123,0.22163144399999998,-1050,0
1539655255.6878111,-8.9228,0.22163144399999998,-1058,0
1539655255.719639,-8.7284,0.2641165920000018,-1022,0
1539655255.751447,-8.5388,0.22163144399999998,-1054,0
1539655255.7837372,-8.3469,0.2641165920000018,-1018,0
1539655255.815704,-8.155,0.22163144399999998,-1058,0
1539655255.847439,-7.9608,0.2641165920000018,-1044,0
1539655255.8796968,-7.7715,0.22163144399999998,-1080,0
1539655255.911668,-7.5795,0.22163144399999998,-1050,0
1539655255.943532,-7.3885,0.22163144399999998,-1076,0
1539655255.975612,-7.1947,0.22163144399999998,-970,0
1539655256.007508,-7.0002,0.22163144399999998,-1094,0
1539655256.039671,-6.8086,0.22163144399999998,-1072,0
1539655256.071588,-6.6151,0.2641165920000018,-1070,0
1539655256.103522,-6.4252,0.2641165920000018,-1030,0
1539655256.135634,-6.2335,0.2641165920000018,-1046,0
1539655256.1677089,-6.0423,0.2641165920000018,-994,0
1539655256.1999402,-5.8519,0.2641165920000018,-1020,0
1539655256.231662,-5.6577,0.2641165920000018,-984,0
1539655256.263735,-5.4709,0.22163144399999998,-954,0
1539655256.295936,-5.2765,0.22163144399999998,-952,0
1539655256.327991,-5.0829,0.22163144399999998,-902,0
1539655256.3597,-4.8924,0.2641165920000018,-924,0
1539655256.3917902,-4.7021,0.3066017400000013,-924,0
1539655256.423838,-4.5124,0.3490868880000008,-924,0
1539655256.455901,-4.321,0.3915720360000004,-858,0
1539655256.488001,-4.1336,0.47654233200000173,-754,0
1539655256.5198028,-3.9425,0.6039977760000004,-680,0
1539655256.552041,-3.7556,0.7739383680000007,-542,0
1539655256.583841,-3.5675,1.0288492560000004,-460,0
1539655256.6159449,-3.3838,1.283760144,-364,0
1539655256.647973,-3.1965,1.5811561800000011,-358,0
1539655256.679884,-3.0073,1.8785522160000003,-242,0
1539655256.711877,-2.8315,2.1759482520000013,285,0
1539655256.74394,-2.635,2.6007997320000014,405,0
1539655256.776014,-2.4508,2.983166064000002,531,0
1539655256.807967,-2.2666,3.4080175440000016,775,0
1539655256.855832,-2.0875,3.917839320000001,1105,1
1539655256.8725271,-1.8697,4.427661096000002,0,1
1539655256.903893,-1.851,4.385175948,0,1
1539655256.920665,-1.8192,4.427661096000002,0,1
1539655256.951961,-1.8059,4.385175948,0,1
1539655256.984118,-1.7871,4.385175948,0,1
1539655257.01596,-1.7719,4.427661096000002,0,1
1539655257.0480871,-1.7597,4.427661096000002,0,1
1539655257.080072,-1.7492,4.470146244000001,0,1
1539655257.112015,-1.7404,4.427661096000002,0,1
1539655257.144084,-1.7329,4.427661096000002,0,1
1539655257.176353,-1.7265,4.427661096000002,0,1
1539655257.2081978,-1.7207,4.427661096000002,0,1
1539655257.239947,-1.7153,4.427661096000002,0,1
1539655257.2571452,-1.7113,4.470146244000001,0,1
1539655257.288079,-1.7091,4.427661096000002,0,1
1539655257.305192,-1.7055,4.470146244000001,0,1
1539655257.3362792,-1.7035,4.385175948,0,1
1539655257.368247,-1.7004,4.470146244000001,0,1
1539655257.4001439,-1.6974,4.470146244000001,0,1
1539655257.416996,-1.6949,4.385175948,0,1
1539655257.4481459,-1.6937,4.470146244000001,0,1
1539655257.465178,-1.6915,4.470146244000001,0,1
1539655257.49648,-1.6904,4.385175948,0,1
1539655257.5282009,-1.6886,4.427661096000002,0,1
1539655257.560312,-1.6869,4.427661096000002,0,1
1539655257.59224,-1.6851,4.427661096000002,0,1
1539655257.6095092,-1.6835,4.427661096000002,0,1
1539655257.640749,-1.6827,4.3426908000000015,0,1
1539655257.672236,-1.6815,4.385175948,0,1
1539655257.689194,-1.6803,4.427661096000002,0,1
1539655257.720285,-1.6797,4.427661096000002,0,1
1539655257.736886,-1.6785,4.385175948,0,1
1539655257.768262,-1.6779,4.385175948,0,1
1539655257.7852852,-1.6768,4.427661096000002,0,1
1539655257.816521,-1.6762,4.385175948,0,1
1539655257.848442,-1.6752,4.385175948,0,1
1539655257.8806999,-1.6742,4.427661096000002,0,1
1539655257.912409,-1.6733,4.385175948,0,1
1539655257.929528,-1.6724,4.385175948,0,1
1539655257.960495,-1.6719,4.385175948,0,1
1539655257.9775949,-1.6711,4.427661096000002,0,1
1539655258.008567,-1.6706,4.385175948,0,1
1539655258.040429,-1.6698,4.385175948,0,1
1539655258.057211,-1.6691,4.385175948,0,1
1539655258.08848,-1.6687,4.427661096000002,0,1
1539655258.105071,-1.668,4.385175948,0,1
1539655258.136836,-1.6676,4.427661096000002,0,1
1539655258.168572,-1.6669,4.385175948,0,1
1539655258.1855402,-1.6662,4.385175948,0,1
1539655258.216765,-1.6658,4.385175948,0,1
1539655258.248599,-1.665,4.385175948,0,1
1539655258.2655702,-1.6643,4.427661096000002,0,1
1539655258.296569,-1.6638,4.427661096000002,0,1
1539655258.313747,-1.6632,4.3426908000000015,0,1
1539655258.344914,-1.6628,4.385175948,0,1
1539655258.376958,-1.6622,4.385175948,0,1
1539655258.409088,-1.6617,4.3426908000000015,0,1
1539655258.440641,-1.6612,4.3426908000000015,0,1
1539655258.4578109,-1.6606,4.385175948,0,1
1539655258.4887512,-1.6604,4.3426908000000015,0,1
1539655258.505725,-1.6599,4.385175948,0,1
1539655258.5368981,-1.6596,4.385175948,0,1
1539655258.568922,-1.659,4.427661096000002,0,1
1539655258.601117,-1.6585,4.385175948,0,1
1539655258.632876,-1.658,4.385175948,0,1
1539655258.664889,-1.6575,4.385175948,0,1
1539655258.681602,-1.657,4.385175948,0,1
1539655258.7131321,-1.6568,4.385175948,0,1
1539655258.745025,-1.6564,4.3426908000000015,0,1
1539655258.776949,-1.656,4.385175948,0,1
1539655258.8089669,-1.6556,4.385175948,0,1
1539655258.840875,-1.6553,4.385175948,0,1
1539655258.857806,-1.6549,4.385175948,0,1
1539655258.889136,-1.6547,4.3426908000000015,0,1
1539655258.921029,-1.6544,4.427661096000002,0,1
1539655258.952996,-1.6541,4.3426908000000015,0,1
1539655258.969845,-1.6538,4.427661096000002,0,1
1539655259.0010529,-1.6536,4.385175948,0,1
1539655259.017972,-1.6533,4.385175948,0,1
1539655259.049129,-1.6531,4.385175948,0,1
1539655259.0813398,-1.6528,4.427661096000002,0,1
1539655259.113267,-1.6524,4.385175948,0,1
1539655259.145358,-1.6521,4.3426908000000015,0,1
1539655259.177356,-1.6518,4.385175948,0,1
1539655259.209066,-1.6515,4.3426908000000015,0,1
1539655259.225963,-1.6512,4.385175948,0,1
1539655259.257283,-1.651,4.300205652000002,0,1
1539655259.289469,-1.6507,4.385175948,0,1
1539655259.321135,-1.6504,4.385175948,0,1
1539655259.338416,-1.6501,4.3426908000000015,0,1
1539655259.369566,-1.6499,4.385175948,0,1
1539655259.401193,-1.6497,4.385175948,0,1
1539655259.418298,-1.6494,4.385175948,0,1
1539655259.449314,-1.6492,4.385175948,0,1
1539655259.466288,-1.649,4.3426908000000015,0,1
1539655259.49734,-1.6488,4.385175948,0,1
1539655259.514646,-1.6486,4.385175948,0,1
1539655259.545394,-1.6484,4.385175948,0,1
1539655259.5775208,-1.6482,4.385175948,0,1
1539655259.609271,-1.6479,4.385175948,0,1
1539655259.626268,-1.6477,4.3426908000000015,0,1
1539655259.6577,-1.6476,4.385175948,0,1
1539655259.6892679,-1.6473,4.385175948,0,1
1539655259.706312,-1.6471,4.385175948,0,1
1539655259.73747,-1.6469,4.385175948,0,1
1539655259.769672,-1.6467,4.3426908000000015,0,1
1539655259.8014772,-1.6465,4.385175948,0,1
1539655259.818659,-1.6462,4.3426908000000015,0,1
1539655259.849814,-1.6461,4.385175948,0,1
1539655259.881509,-1.6458,4.385175948,0,1
1539655259.913606,-1.6456,4.385175948,0,1
1539655259.945703,-1.6454,4.3426908000000015,0,1
1539655259.977597,-1.6452,4.3426908000000015,0,1
1539655260.009944,-1.645,4.3426908000000015,0,1
1539655260.041677,-1.6447,4.3426908000000015,0,1
1539655260.0736508,-1.6445,4.300205652000002,0,1
1539655260.105803,-1.6443,4.385175948,0,1
1539655260.137794,-1.644,4.3426908000000015,0,1
1539655260.169676,-1.6438,4.3426908000000015,0,1
1539655260.201749,-1.6437,4.385175948,0,1
1539655260.233841,-1.6435,4.427661096000002,0,1
1539655260.2657092,-1.6433,4.385175948,0,1
1539655260.297856,-1.6431,4.385175948,0,1
1539655260.329974,-1.6429,4.3426908000000015,0,1
1539655260.36159,-1.6427,4.385175948,0,1
1539655260.378328,-1.6426,4.385175948,0,1
1539655260.409757,-1.6425,4.3426908000000015,0,1
1539655260.4268548,-1.6423,4.385175948,0,1
1539655260.4577868,-1.6422,4.3426908000000015,0,1
1539655260.4748101,-1.642,4.3426908000000015,0,1
1539655260.505905,-1.6419,4.385175948,0,1
1539655260.538048,-1.6418,4.3426908000000015,0,1
1539655260.5698712,-1.6416,4.385175948,0,1
1539655260.586997,-1.6415,4.385175948,0,1
1539655260.618221,-1.6413,4.3426908000000015,0,1
1539655260.64992,-1.6412,4.385175948,0,1
1539655260.6820989,-1.641,4.385175948,0,1
1539655260.714192,-1.6408,4.385175948,0,1
1539655260.746054,-1.6408,4.385175948,0,1
1539655260.778199,-1.6406,4.3426908000000015,0,1
1539655260.810081,-1.6404,4.385175948,0,1
1539655260.84189,-1.6403,4.3426908000000015,0,1
1539655260.8590012,-1.6401,4.3426908000000015,0,1
1539655260.8900108,-1.6401,4.3426908000000015,0,1
1539655260.907091,-1.6399,4.385175948,0,1
1539655260.938251,-1.6398,4.3426908000000015,0,1
1539655260.97039,-1.6397,4.3426908000000015,0,1
1539655261.002479,-1.6395,4.385175948,0,1
1539655261.03424,-1.6394,4.3426908000000015,0,1
1539655261.066263,-1.6392,4.385175948,0,1
1539655261.098176,-1.639,4.385175948,0,1
1539655261.130317,-1.6389,4.385175948,0,1
1539655261.147674,-1.6388,4.385175948,0,1
1539655261.178497,-1.6387,4.385175948,0,1
1539655261.210643,-1.6386,4.3426908000000015,0,1
1539655261.242153,-1.6384,4.3426908000000015,0,1
1539655261.25908,-1.6383,4.3426908000000015,0,1
1539655261.2902012,-1.6383,4.3426908000000015,0,1
1539655261.308,-1.6381,4.3426908000000015,0,1
1539655261.338309,-1.638,4.3426908000000015,0,1
1539655261.3550668,-1.6379,4.385175948,0,1
1539655261.3864949,-1.6379,4.385175948,0,1
1539655261.418509,-1.6377,4.3426908000000015,0,1
1539655261.450399,-1.6376,4.385175948,0,1
1539655261.48229,-1.6375,4.3426908000000015,0,1
1539655261.499097,-1.6373,4.3426908000000015,0,1
1539655261.530716,-1.6373,4.385175948,0,1
1539655261.562644,-1.6372,4.385175948,0,1
1539655261.594429,-1.637,4.3426908000000015,0,1
1539655261.626387,-1.6369,4.3426908000000015,0,1
1539655261.643592,-1.6369,4.3426908000000015,0,1
1539655261.674645,-1.6368,4.300205652000002,0,1
1539655261.706656,-1.6367,4.385175948,0,1
1539655261.738546,-1.6365,4.385175948,0,1
1539655261.7704792,-1.6365,4.385175948,0,1
1539655261.787337,-1.6364,4.3426908000000015,0,1
1539655261.818557,-1.6363,4.300205652000002,0,1
1539655261.8353229,-1.6362,4.385175948,0,1
1539655261.866615,-1.6362,4.385175948,0,1
1539655261.898711,-1.6362,4.385175948,0,1
1539655261.930757,-1.636,4.385175948,0,1
